FILE SIZE LOG 
file_1_A.pdf - 12 bytes 
file_1_A.docx - 12 bytes 
file_1_B.pdf - 12 bytes 
file_1_B.docx - 12 bytes 
file_1_C.pdf - 13 bytes 
file_1_C.docx - 13 bytes 
file_10_A.pdf - 12 bytes 
file_10_A.docx - 12 bytes 
file_10_B.pdf - 12 bytes 
file_10_B.docx - 12 bytes 
file_10_C.pdf - 13 bytes 
file_10_C.docx - 13 bytes 
file_2_A.pdf - 12 bytes 
file_2_A.docx - 12 bytes 
file_2_B.pdf - 12 bytes 
file_2_B.docx - 12 bytes 
file_2_C.pdf - 13 bytes 
file_2_C.docx - 13 bytes 
file_3_A.pdf - 12 bytes 
file_3_A.docx - 12 bytes 
file_3_B.pdf - 12 bytes 
file_3_B.docx - 12 bytes 
file_3_C.pdf - 13 bytes 
file_3_C.docx - 13 bytes 
file_4_A.pdf - 12 bytes 
file_4_A.docx - 12 bytes 
file_4_B.pdf - 12 bytes 
file_4_B.docx - 12 bytes 
file_4_C.pdf - 13 bytes 
file_4_C.docx - 13 bytes 
file_5_A.pdf - 12 bytes 
file_5_A.docx - 12 bytes 
file_5_B.pdf - 12 bytes 
file_5_B.docx - 12 bytes 
file_5_C.pdf - 13 bytes 
file_5_C.docx - 13 bytes 
file_6_A.pdf - 12 bytes 
file_6_A.docx - 12 bytes 
file_6_B.pdf - 12 bytes 
file_6_B.docx - 12 bytes 
file_6_C.pdf - 13 bytes 
file_6_C.docx - 13 bytes 
file_7_A.pdf - 12 bytes 
file_7_A.docx - 12 bytes 
file_7_B.pdf - 12 bytes 
file_7_B.docx - 12 bytes 
file_7_C.pdf - 13 bytes 
file_7_C.docx - 13 bytes 
file_8_A.pdf - 12 bytes 
file_8_A.docx - 12 bytes 
file_8_B.pdf - 12 bytes 
file_8_B.docx - 12 bytes 
file_8_C.pdf - 13 bytes 
file_8_C.docx - 13 bytes 
file_9_A.pdf - 12 bytes 
file_9_A.docx - 12 bytes 
file_9_B.pdf - 12 bytes 
file_9_B.docx - 12 bytes 
file_9_C.pdf - 13 bytes 
file_9_C.docx - 13 bytes 
